Date created,Year,MARYLAND,Allegany County,Anne Arundel County,Baltimore City,Baltimore County,Calvert County,Caroline County,Carroll County,Cecil County,Charles County,Dorchester County,Frederick County,Garrett County,Harford County,Howard County,Kent County,Montgomery County,Prince George's County,Queen Anne's County,Somerset County,St. Mary's County,Talbot County,Washington County,Wicomico County,Worcester County
10/06/2025,2014,"55,389","35,752","54,136","59,944","51,125","43,742","37,759","39,756","43,511","42,524","37,365","48,489","32,370","47,944","62,072","37,542","67,512","53,143","35,861","40,547","63,320","38,674","39,041","39,228","31,221"
10/06/2025,2015,"57,176","36,812","55,711","62,215","52,344","47,420","39,913","41,309","45,001","43,046","38,332","49,206","33,250","50,125","63,992","37,557","70,229","54,646","36,768","42,301","64,080","39,910","40,236","40,930","32,012"
10/06/2025,2016,"58,106","37,224","56,658","63,211","53,142","52,219","40,266","41,753","45,890","45,102","38,701","49,398","33,018","50,578","64,748","38,611","71,704","55,282","37,615","42,408","64,712","40,187","40,607","42,136","32,626"
10/06/2025,2017,"59,603","38,220","57,959","65,015","54,724","54,382","40,901","43,425","47,289","45,798","40,022","49,962","34,042","51,379","66,155","39,701","73,354","56,690","39,599","44,822","66,161","41,454","41,828","43,646","33,066"
10/06/2025,2018,"61,151","39,040","59,233","65,743","56,557","50,755","41,802","43,407","48,650","46,280","40,029","51,106","35,445","52,437","68,293","41,425","75,650","58,219","40,926","43,908","67,427","43,039","43,561","43,586","34,375"
10/06/2025,2019,"62,976","40,335","61,260","68,551","57,710","49,727","43,573","44,813","50,406","47,240","41,291","52,971","36,120","54,838","70,813","41,673","77,040","59,939","41,271","47,910","69,225","43,469","44,701","44,632","35,321"
10/06/2025,2020,"68,879","43,629","67,820","73,219","63,375","54,153","47,718","49,079","53,897","51,536","45,215","58,128","38,484","60,042","79,543","45,125","84,977","64,675","45,674","52,423","76,202","46,561","48,595","48,418","39,066"
10/06/2025,2021,"71,688","44,884","70,465","75,469","65,464","55,187","50,660","50,089","50,844","53,605","46,675","60,371","39,855","61,555","82,108","45,974","90,594","66,718","51,608","53,592","76,098","48,673","50,959","49,831","40,631"
10/06/2025,2022,"73,667","46,092","72,870","77,541","67,317","58,168","51,527","52,823","56,662","56,093","49,257","63,712","42,477","63,680","82,016","48,950","89,899","68,862","51,978","54,181","79,085","51,500","52,530","52,021","42,730"
10/06/2025,2023,"76,052","48,987","75,022","79,827","68,574","62,425","54,001","55,481","60,628","59,023","50,286","66,940","45,132","66,943","84,885","51,400","92,042","71,518","54,519","56,092","82,106","54,397","55,273","54,441","44,295"
10/06/2025,2024,"78,992","51,775","79,558","82,986","71,108","61,182","53,765","57,437","63,529","60,363","52,498","69,833","48,451","68,546","86,891","52,871","94,635","73,499","56,355","58,206","85,403","56,567","58,240","56,624","45,796"
