ai,facility_name,county,action_description,achieved_date,addressinfo,city_state_zip,documents
93478,"Parkway Generation Operating, LLC - Keys Energy Center LLC",Prince George's,2E - State HPV Day Zero,2021-02-04T00:00:00.000,10322 N. Keys Road,"Brandywine,MD,20613-8200",
2087,Perdue AgriBusiness LLC,Wicomico,2E - State HPV Day Zero,2022-02-23T00:00:00.000,6906 Zion Church Road,"Salisbury,MD,21804",{'url': 'https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=2880856'}
89765,"Bizerba Label Solutions, Inc",Harford,2E - State HPV Day Zero,2021-12-16T00:00:00.000,"1804 Fashion Ct, Stes 113-120","Joppa,MD,21085",{'url': 'https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=2835530'}
1815,Naval Air Station Patuxent River,St. Mary's,2E - State HPV Day Zero,2021-03-18T00:00:00.000,"22445 Peary Road, Building 504","Patuxent River,MD,20670-1603",{'url': 'https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=2749686'}
2255,Amrize Hagerstown Cement Plant (Formerly Holcim Hagerstown Cement Plant),Washington,SD - State Demand Letter (Stipulated Penalty),2023-03-17T00:00:00.000,1260 Security Road,"Hagerstown,MD,21742",{'url': 'https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=2994195'}
10261,CSX Transportation - Curtis Bay Piers,Baltimore City,48 - State Administrative Consent Order Signed,2022-12-23T00:00:00.000,1910 Benhill Ave,"Curtis Bay,MD,21226",{'url': 'https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=2969555'}
10963,USDA Beltsville Agriculture Research Center,Prince George's,2E - State HPV Day Zero,2021-09-20T00:00:00.000,10300 Baltimore Ave,"Beltsville,MD,20705",
10261,CSX Transportation - Curtis Bay Piers,Baltimore City,CR - State Civil Referral,2024-10-01T00:00:00.000,1910 Benhill Ave,"Curtis Bay,MD,21226",
89765,"Bizerba Label Solutions, Inc",Harford,92 - State Civil Penalty Assessed,2024-08-05T00:00:00.000,1804 Fashion Court,"Joppa,MD,21085",
89765,"Bizerba Label Solutions, Inc",Harford,PC - Penalty Collected,2024-09-26T00:00:00.000,1804 Fashion Court,"Joppa,MD,21085",
4325,Saft America Inc,Baltimore,92 - State Civil Penalty Assessed,2022-10-19T00:00:00.000,107 Beaver Ct,"Cockeysville,MD,21030",
4325,Saft America Inc,Baltimore,PC - Penalty Collected,2022-11-25T00:00:00.000,107 Beaver Ct,"Cockeysville,MD,21030",
7045,Schmidt Baking Co,Baltimore,92 - State Civil Penalty Assessed,2023-02-08T00:00:00.000,7801 Fitch Lane,"Nottingham,MD,21236",
7045,Schmidt Baking Co,Baltimore,PC - Penalty Collected,2023-02-27T00:00:00.000,7801 Fitch Lane,"Nottingham,MD,21236",
147183,"Vac Pac, Inc",Baltimore,92 - State Civil Penalty Assessed,2024-01-24T00:00:00.000,917 Middle River Rd,"Middle River,MD,21220",
147183,"Vac Pac, Inc",Baltimore,PC - Penalty Collected,2024-03-05T00:00:00.000,917 Middle River Rd,"Middle River,MD,21220",
439,"Curtis Bay Energy, LP",Baltimore City,CR - State Civil Referral,2023-11-29T00:00:00.000,3200 Hawkins Point Road,"Baltimore,MD,21226",
131267,EPA Dorchester County,Dorchester,92 - State Civil Penalty Assessed,2023-03-15T00:00:00.000,501 Court Ln,"Cambridge,MD,21613",
131267,EPA Dorchester County,Dorchester,PC - Penalty Collected,2023-08-30T00:00:00.000,501 Court Ln,"Cambridge,MD,21613",
29,Naval Support Activity Bethesda,Montgomery,47 - State Administrative Corrective Order Issued,2021-07-16T00:00:00.000,8901 Wisconsin Ave,"Bethesda,MD,20889",
119385,"CSX Transportation, Inc",Baltimore City,92 - State Civil Penalty Assessed,2024-01-10T00:00:00.000,900 Chesapeake Ave,"Brooklyn,MD,21225",
