addressinfo,county,enforcement_action,enforcement_action_no,enforcement_action_issued,case_closed,media,program,upload_id,city,state,zip,ai_combined
13357 Osprey Ln,Calvert,Penalty Settlement,PS-13-1763,2012-10-18T00:00:00.000,2012-10-18T00:00:00.000,Tidal Wetlands,,,Dowell,MD,20629,137972 - 13357 Osprey Ln
Rolling Oaks Subdivision,Allegany,Settlement Agreement,Joe Bieberich,2013-07-18T00:00:00.000,2016-04-18T00:00:00.000,Notice of Intent;Sediment;Stormwater Management,Notice of Intent (Construction),,Ellerslie,MD,21529,136349 - Rolling Oaks Subdivision
1079 Firetower Road,Cecil,Consent Order,CO-14-2092,2014-06-16T00:00:00.000,2016-07-13T00:00:00.000,Groundwater Discharge Permit,Municipal Minor,,Colora,MD,21917,10610 - West Nottingham Academy
National Hwy,Allegany,Penalty Settlement,C-14-1965,2013-07-16T00:00:00.000,2013-08-09T00:00:00.000,Sediment,,,Cumberland,MD,21502,138098 - Liberty Wine and Liquor
27 Benjamin Park Dr,Cecil,Penalty Settlement,PS-15-2191,2014-12-04T00:00:00.000,2014-12-11T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),,Port Deposit,MD,21904,21857 - Homestead Mobile Estates WWTP
City Wide Sewerage System,Baltimore City,Stipulated Penalty,Arno laud,2013-09-11T00:00:00.000,2014-01-31T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),,Baltimore,MD,0,31395 - Baltimore City Sanitary Sewer Overflows
28114 Old Eden Road,Wicomico,Administrative Order,CO-17-2415,2016-07-28T00:00:00.000,2019-04-01T00:00:00.000,Groundwater Discharge Permit;Non-Tidal Wetlands;Sediment,Industrial Minor,,Eden,MD,21826,3640 - Culpeper of Fruitland LLC
48226 Far Cry Rd,St. Mary's,Settlement Agreement,Arno Laud,2013-09-06T00:00:00.000,2014-11-06T00:00:00.000,Sediment,,,Lexington Park,MD,20653,134466 - 48226 Far Cry Rd
County Wide Sewerage System,Worcester,Penalty Settlement,Kevin Bull,2015-05-21T00:00:00.000,2015-06-09T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),,County-wide,MD,0,31416 - Worcester County Sanitary Sewer Overflows
1161 Deep Cove Road,Anne Arundel,Consent Order,CO-12-1583,2012-02-03T00:00:00.000,2017-11-22T00:00:00.000,Surface Water Discharge Permit,Municipal Major,,Churchton,MD,20733,4017 - Broadwater WRF
8833 Wagner Station Road,Anne Arundel,Stipulated Penalty,Arno Laud,2018-10-02T00:00:00.000,2018-10-30T00:00:00.000,Surface Water Discharge Permit,Municipal Major,,Curtis Bay,MD,21226,24035 - Cox Creek WRF
County Wide Sewerage System,Baltimore,Consent Decree,Jess Herpel,2005-09-20T00:00:00.000,2024-10-02T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),{'url': 'https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=1631042'},County-wide,MD,0,31394 - Baltimore County Sanitary Sewer Overflows
10300 Block of National Pike,Garrett,Stipulated Penalty,SP-24-3014,2024-06-06T00:00:00.000,2024-09-10T00:00:00.000,Surface Water Discharge Permit,Municipal Minor,{'url': 'https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=2461873'},Grantsville,MD,21536,23479 - Grantsville WWTP
Rockawalkin Rd,Wicomico,,,,2024-09-10T00:00:00.000,Not Assigned,,,Salisbury,MD,21801,129786 - Brock Parker Property- Lots 1 & 2 Rockawalkin Rd.
2809 Chancellor Point Rd,Talbot,Consent Decree,Joe Bieberich,2014-06-11T00:00:00.000,2016-09-14T00:00:00.000,Non-Tidal Wetlands,,,Trappe,MD,21673,"70460 - Hollingsworth, Joe/stream Xing"
900 S Caton Ave,Baltimore City,Penalty Settlement,PS-13-1746,2012-08-21T00:00:00.000,2012-10-23T00:00:00.000,Notice of Intent,Notice of Intent (Construction),,Baltimore,MD,21229,143 - Ascension Saint Agnes Hospital
